,Food Code,Category,Food,Proteins (g),Fats (g),Carbs (g),Calories,Cholesterol,Saturated Fats (g),Total Fat (% Calories),Total Protein (% Calories),Total Carbohydrate (% Calories),Gram_Weight,Portion_Desc
71,11460410,Carbs,"Frozen yogurt, other flavors, nonfat, low-calorie sweetener",4.4,0.8,19.6999,104.0,4.0,0.488,6.9231,16.9231,75.7688,93.0,medium scoop
72,11460430,Carbs,"Frozen yogurt, chocolate, whole milk",3.0,3.6,21.6,127.0,13.0,2.2719,25.5118,9.4488,68.0315,87.0,medium scoop
73,11460440,Carbs,"Frozen yogurt, other flavors, whole milk",3.0,3.6,21.6,127.0,13.0,2.326,25.5118,9.4488,68.0315,87.0,medium scoop
74,11461000,Fats,"Frozen yogurt, chocolate-coated",3.22,16.41,28.92,270.0,2.0,13.036,54.7,4.7704,42.8444,41.0,bar
75,11461100,Carbs,"Frozen yogurt, carob-coated",4.9299,11.3699,31.39,244.0,2.0,9.1539,41.9382,8.0818,51.459,41.0,bar
76,11461200,Carbs,"Frozen yogurt, sandwich",4.6398,5.1299,37.68,212.0,2.0,2.766,21.7779,8.7543,71.0943,85.0,sandwich
77,11461250,Carbs,"Frozen yogurt, cone, chocolate",5.15,9.1198,31.37,214.0,2.0,5.4058,38.3543,9.6262,58.6355,118.0,medium cone
78,11461260,Carbs,"Frozen yogurt, cone, other flavors",4.48,5.3799,31.5,189.0,2.0,3.073,25.6186,9.4815,66.6667,118.0,medium cone
79,11461270,Carbs,"Frozen yogurt, cone, other flavors, low fat",5.4199,1.86,11.27,84.0,6.0,1.0128,19.9286,25.809,53.6667,118.0,medium cone
80,11461280,Carbs,"Frozen yogurt, cone, chocolate, low fat",5.4,2.24,25.1498,131.0,5.0,1.222,15.3893,16.4885,76.7933,118.0,medium cone
81,11511100,Carbs,"Chocolate milk, whole",3.1699,3.39,10.34,83.0,12.0,2.104,36.759,15.2766,49.8313,250.0,cup
82,11511200,Carbs,"Chocolate milk, reduced fat (2%)",2.99,1.8998,12.13,76.0,8.0,1.177,22.4976,15.7368,63.8421,250.0,cup
83,11511300,Carbs,"Chocolate milk, fat free (skim)",3.4199,0.28,10.94,56.0,2.0,0.17600000000000002,4.5,24.4279,78.1429,250.0,cup
84,11511400,Carbs,"Chocolate milk, low fat (1%)",3.24,1.0,12.6,71.0,3.0,0.616,12.6761,18.2535,70.9859,250.0,cup (school milk carton)
85,11512000,Carbs,"Hot chocolate, homemade, with whole milk",3.39,3.33,12.14,86.0,9.0,1.915,34.8488,15.7674,56.4651,250.0,cup
86,11512500,Fats,"Hot chocolate, Puerto Rican style, with whole milk",4.07,6.98,10.52,116.0,16.0,4.1798,54.1552,14.0345,36.2759,240.0,cup
87,11513100,Carbs,"Hot chocolate, (Hershey's), (Nestle's Quick), made from mix, with whole milk ",3.27,3.1699,11.8698,89.0,9.0,1.899,32.0552,14.6966,53.3474,250.0,cup
88,11513150,Carbs,"Hot chocolate, (Hershey's), (Nestle's Quick), made from mix, with reduced fat (2%) milk ",3.3999,2.0,11.8698,79.0,7.0,1.3409,22.7848,17.2147,60.1003,250.0,cup
89,11513200,Carbs,"Hot chocolate, (Hershey's), (Nestle's Quick), made from mix, with low fat (1%) milk ",3.47,1.08,12.0398,72.0,5.0,0.769,13.5,19.2778,66.8878,250.0,cup
90,11513300,Carbs,"Hot chocolate, (Hershey's), (Nestle's Quick), made from mix, with fat free (skim) milk ",3.47,0.26,11.99,64.0,2.0,0.239,3.6563,21.6875,74.9375,250.0,cup
91,11513355,Fats,"Hot cocoa, (Hershey's), (Nestle's Quick), reduced sugar, with whole milk",3.47,3.5699,7.99,78.0,9.0,2.0099,41.1912,17.7949,40.9744,250.0,cup
92,11513360,Carbs,"Hot cocoa, (Hershey's), (Nestle's Quick), reduced sugar, with reduced fat (2%) milk",3.6099,2.37,7.99,68.0,8.0,1.435,31.3676,21.2347,47.0,250.0,cup
93,11513365,Carbs,"Hot cocoa, (Hershey's), (Nestle's Quick), reduced sugar, with low fat (1%) milk",3.68,1.4098,8.1699,60.0,5.0,0.845,21.147,24.5333,54.466,250.0,cup
94,11513370,Carbs,"Hot cocoa, (Hershey's), (Nestle's Quick), reduced sugar, with fat free (skim) milk",3.68,0.57,8.13,52.0,2.0,0.299,9.8654,28.3077,62.5385,250.0,cup
95,11513500,Carbs,"Chocolate milk, homemade, with whole milk ",3.0099,2.97,12.85,90.0,9.0,1.685,29.7,13.3773,57.1111,250.0,cup
96,11513550,Carbs,"Chocolate milk, homemade, with reduced fat (2%) milk ",3.14,1.87,12.85,81.0,7.0,1.1578,20.7778,15.5062,63.4568,250.0,cup
97,11513600,Carbs,"Chocolate milk, homemade, with low fat (1%) milk ",3.2,0.99,13.02,74.0,4.0,0.618,12.0405,17.2973,70.3784,250.0,cup
98,11513700,Carbs,"Chocolate milk, homemade, with fat free (skim) milk ",3.2,0.22,12.96,67.0,2.0,0.11800000000000001,2.9552,19.1045,77.3731,250.0,cup
99,11514100,Carbs,"Hot chocolate, (Swiss Miss), (Carnation), made from dry mix (with milk & sugar), with water",0.92,0.55,11.5299,55.0,0.0,0.327,9.0,6.6909,83.8538,206.0,"packet dry mix, prepared with water"
100,11514300,Carbs,"Hot chocolate, (Carnation), (Swiss Miss), (Nutrisystem), made from mix (with milk & low calorie sweetener), with water",1.21,0.23,5.61,29.0,0.0,0.139,7.1379,16.6897,77.3793,197.0,"packet dry mix, prepared with water"
101,11514500,Carbs,Ovaltine sugar free Hot Cocoa ,1.54,0.18,3.56,22.0,1.0,0.109,7.3636,28.0,64.7273,249.0,cup
102,11515400,Carbs,Alba High Calcium Cocoa,2.4399,0.29,5.6299,35.0,1.0,0.17300000000000001,7.4571,27.8846,64.3417,197.0,"packet dry mix, prepared with water"
103,11516000,Carbs,"Chocolate Milk, (Nestle's Quik), (Swiss Miss), with 1% fat milk",4.03,1.08,8.6198,60.0,5.0,0.695,16.2,26.8667,57.4653,250.0,cup
104,11518000,Carbs,"Chocolate beverage, (Jenny Craig), (Alba), from dry mix with milk and low calorie sweetener, water added",2.58,0.27,5.2999,34.0,2.0,0.193,7.1471,30.3529,62.3518,276.0,cup
105,11519050,Carbs,"Milk, whole, with strawberry or vanilla flavor",2.8999,3.0,12.6,88.0,9.0,1.7109999999999999,30.6818,13.1814,57.2727,250.0,cup
106,11519105,Carbs,"Milk, reduced fat (2%), with strawberry or vanilla flavor",3.0499,1.83,12.08,77.0,8.0,1.124,21.3896,15.8436,62.7532,250.0,cup
107,11519200,Carbs,"Milk, low fat (1%) with strawberry or vanilla flavor",3.1,0.91,12.77,71.0,5.0,0.581,11.5352,17.4648,71.9437,250.0,cup
108,11519205,Carbs,"Milk, fat free (skim), with strawberry or vanilla flavor",3.1,0.09,12.72,63.0,2.0,0.051,1.2857,19.6825,80.7619,250.0,cup
109,11521000,Carbs,"Malted milk, chocolate, with 2% milk",3.4199,2.1299,11.3599,78.0,7.0,1.2508,24.5758,17.5379,58.2559,235.0,cup
110,11522000,Carbs,"Malted milk, natural flavor, with 2% milk",4.15,2.5099,10.1099,80.0,9.0,1.4398,28.2364,20.75,50.5495,235.0,cup
111,11525000,Carbs,"Malted milk, fortified, natural flavor, with whole milk",3.6499,3.1,11.0398,87.0,9.0,1.7708,32.069,16.7811,50.7577,235.0,cup
112,11526000,Carbs,"Malted milk, fortified, chocolate, with skim milk",3.49,0.34,11.25,62.0,2.0,0.207,4.9355,22.5161,72.5806,235.0,cup
113,11531000,Fats,"Eggnog, with whole milk",4.5499,4.19,8.05,88.0,59.0,2.591,42.8523,20.6814,36.5909,254.0,cup
114,11531500,Fats,"Eggnog, with 2% milk ",4.74,3.1699,6.5099,74.0,68.0,1.53,38.5528,25.6216,35.1886,254.0,cup
115,11541110,Carbs,"Milk shake,  fountain-type, chocolate, with whole milk",3.14,4.95,21.44,140.0,15.0,2.9489,31.8214,8.9714,61.2571,283.0,milkshake (10 fl oz)
116,11541120,Carbs,"Milk shake,  fountain-type, vanilla or strawberry, with whole milk",2.68,4.69,21.4499,136.0,17.0,2.805,31.0368,7.8824,63.0879,283.0,milkshake (10 fl oz)
117,11541400,Carbs,"Milk shake, with malt, with whole milk",3.41,5.07,21.73,145.0,18.0,2.986,31.469,9.4069,59.9448,283.0,milkshake (10 fl oz)
118,11542100,Carbs,"Milk shake, fast food or carry-out, chocolate",3.3999,3.7,20.5,127.0,13.0,2.313,26.2205,10.7083,64.5669,475.0,medium shake (20 fl oz)
119,11542200,Carbs,"Milk shake, fast food or carry out, vanilla or strawberry",3.37,6.5198,19.59,148.0,23.0,3.9619999999999997,39.6474,9.1081,52.9459,475.0,medium shake (20 fl oz)
120,11551050,Carbs,"Fruit smoothie, made with whole milk",2.2799,2.16,13.08,78.0,6.0,1.2009999999999998,24.9231,11.6918,67.0769,209.0,cup
121,11552200,Carbs,Orange Julius,5.3898,0.14,14.82,81.0,3.0,0.073,1.5556,26.6163,73.1852,262.0,cup
122,11553000,Carbs,"Fruit smoothie, made with yogurt and ice cream",1.71,1.69,20.3998,99.0,5.0,1.0028,15.3636,6.9091,82.4234,506.0,commercial smoothie (20 fl oz)
123,11560000,Carbs,Chocolate-flavored drink,0.64,0.4,10.68,49.0,0.0,0.31,7.3469,5.2245,87.1837,244.0,cup (drink box)
124,11560020,Carbs,Strawberry-flavored drink,0.64,0.4,10.68,49.0,0.0,0.31,7.3469,5.2245,87.1837,244.0,cup
125,11561000,Fats,"Cafe con leche, with whole milk",1.6598,1.6598,2.4399,31.0,5.0,0.9470000000000001,48.1877,21.4168,31.4826,190.0,coffee cup (6 fl oz)
126,11561010,Carbs,Cafe con leche  with sugar,1.55,1.55,8.7599,55.0,5.0,0.8859999999999999,25.3636,11.2727,63.7084,190.0,coffee cup (6 fl oz)
127,11611000,Carbs,"Instant breakfast, canned",5.4599,1.8799,12.93,90.0,8.0,1.091,18.799,24.2662,57.4667,313.0,can (10 fl oz)
128,11612000,Carbs,"Instant breakfast, powder, with 2% milk",5.4859,1.9039,12.885,90.42299999999999,8.5269,1.165,18.9499,24.2677,56.9988,279.0,packet dry mix with milk
129,11613000,Carbs,"Instant breakfast, powder, low calorie sweetener, with 2% milk",5.7619,2.2159999999999997,7.5419,73.3329,10.727,1.3259999999999998,27.1965,31.4287,41.1379,264.0,packet dry mix with milk
130,11622010,Carbs,"Diet beverage, powder, made with fat free milk",5.82,0.46,7.6799,58.0,5.0,0.215,7.1379,40.1379,52.9648,264.0,packet dry mix with milk
131,11623000,Carbs,Ensure Nutrition Shake,3.5,1.3999,10.9,70.0,2.0,0.255,17.9987,20.0,62.2857,341.0,can (11 fl oz)
132,11631000,Carbs,"Meal supplement, high calorie, canned or powdered, reconstituted",4.21,2.6299,12.94,92.0,3.0,0.35600000000000004,25.7273,18.3043,56.2609,250.0,cup
133,11641000,Carbs,"Meal replacement, high protein, liquid",5.7,2.2,13.0,94.0,0.0,0.36,21.0638,24.2553,55.3191,256.0,cup
134,11641020,Carbs,Boost Nutritional Energy Drink,5.7,2.2,13.0,94.0,0.0,0.36,21.0638,24.2553,55.3191,256.0,cup
135,11811000,Fats,"Milk, dry, whole, not reconstituted",26.32,26.71,38.42,496.0,97.0,16.742,48.4657,21.2258,30.9839,128.0,cup
136,11812000,Carbs,Low fat dry milk powder,34.7599,1.7,51.67,363.0,20.0,1.075,4.2149,38.3029,56.9366,120.0,cup
