Action,portion_code,portiondesc,Active
,6013100,bar,1
,6013200,Hostess Lights Cake with Creamy Filling,1
,6013300,Hostess Lights Cake with Fruit Filling,1
,6013400,Hostess Twinkies Lights,1
,6013600,Hot Pocket,1
,6013700,Hot Pockets Beef & Cheddar,1
,6013800,Hot Pockets Ham 'n Cheese,1
,6013900,Hot Pockets Pepperoni Pizza,1
,6014000,Hot Pocket Sausage Pizza,1
,6014100,Italian or plum tomato,1
,6014300,Jack-in-the-Box Bonus-Jack hamburger,1
,6014400,Jack-in-the-Box Cheeseburger Deluxe,1
,6014500,Jack-in-the-Box Chicken Pita Pocket sandwich,1
,6014800,Jack-in-the-Box Grilled Sour Dough Burger,1
,6014900,Jack-in-the-Box Hamburger Deluxe,1
,6015000,Jack-in-the-Box Jumbo Jack hamburger,1
,6015100,Jack-in-the-Box Jumbo-Jack Hamburger with cheese,1
,6015300,Jack-in-the-Box Sirloin Cheesesteak,1
,6015400,Jack-in-the-Box sandwich,1
,6015401,Jack-in-the-Box Ultimate cheeseburger,1
,6015500,Jack-in-the-Box cheeseburger,1
,6015600,Jack-in-the-Box sandwich,1
,6015700,"Jenny Craig pouch (6 oz), prepared",1
,6015800,bar (1 oz),1
,6015900,Jenny's Cuisine Pizza Puff,1
,6016000,bar (1.6 oz),1
,6016100,"Jenny's Cuisine envelope (1 oz), prepared",1
,6016200,Jimmy Dean Chicken Biscuit,1
,6016300,Jimmy Dean MiniBurger,1
,6016400,Jimmy Dean sandwich,1
,6016600,Kentucky Fried Chicken Chicken Little,1
,6016700,Klondike Krispy bar,1
,6017000,Kraft meal (9 oz),1
,6017100,Krunch Twist,1
,6017300,bar (1.2 oz),1
,6017400,Le Menu meal (10.25 oz),1
,6017800,Lean Cuisine meal (11 oz),1
,6017900,Lean Cuisine meal (11.25 oz),1
,6018100,Life Savers Flavor Pops,1
,6018300,Light Eskimo Pie bar,1
,6018400,Light and Elegant meal (11.25 oz),1
,6018500,Little Debbie Cookie Bar,1
,6018600,Little Debbie Fudge Crispy Bar,1
,6018700,Little Debbie Nutty Bar,1
,6018800,McDonald's Quarter-Pounder,1
,6018900,McDonald's Quarter Pounder with cheese,1
,6019000,McDonald's Big Mac,1
,6019300,McDonald's Double cheeseburger,1
,6019400,McDonald's hamburger,1
,6019500,McDonald's McChicken sandwich,1
,6019700,McDonald's cheeseburger,1
,6019900,McDonald's salad dressing packet,1
,6020000,McDonald's steak biscuit,1
,6020200,Mickey Mouse bar,1
,6020400,Morton Salisbury Steak Dinner (11.25 oz),1
,6020600,Mott's fruit pak (3.75 oz),1
,6020700,Mrs. Paul's Apple Fritter,1
,6020800,Mug-O-Lunch,1
,6020900,Nachos Supreme,1
,6021000,Napoleon,1
,6021100,Nassau,1
,6021300,New Trail,1
,6021400,NuSystem package (.9 oz),1
,6021500,Nutri System packet (1 oz),1
,6021600,Nutri System packet with 8 fl oz water,1
,6021700,bar (1.1 oz),1
,6021701,bar (1.3 oz),1
,6021800,Nutty Buddy,1
,6021900,Oreo mini sandwich,1
,6022000,Oreo,1
,6022100,Orville Redenbacher's Light Microwave pop and serve bag,1
,6022200,Orville Redenbacher's pop and serve bag,1
,6022300,Pacific crab,1
,6022400,"Pacific cod fillet (6"" x 2-1/2"" x 3/8"")",1
,6022500,"Pacific cod fillet (6-1/4"" x 3"" x 3/8"")",1
,6022600,Pepperidge Farm Cappucino,1
,6022700,Pepperidge Farm Chocolate Chunk Pecan Cookie,1
,6022900,"Pepperidge Farm Distinctive Chantilly (about 2"" across)",1
,6023000,Pepperidge Farm Lido,1
,6023100,Petit Four,1
,6023200,Pillsbury microwave pop and serve bag,1
,6023300,bottle,1
,6023400,Pop tart,1
,6023800,Quaker Oats or Nature Valley bar,1
,6023900,Quaker Oats or Nature Valley bar,1
,6024100,Rax Roast Beef Sandwich,1
,6024200,bar,1
,6024500,Ritz Bits sandwich,1
,6024600,Ritz,1
,6024700,Rondo,1
,6024800,Roy Rogers Double R Bar Burger,1
,6024900,Roy Rogers Kid's Meal cheeseburger,1
,6025000,Roy Rogers Kid's Meal hamburger,1
,6025100,Roy Rogers Roast Beef Sandwich,1
,6025200,Roy Rogers bacon cheeseburger,1
,6025400,Roy Rogers hamburger,1
,6025500,Sara Lee Apple,1
,6025600,Sara Lee Cinnamon-Nut-Raisin,1
,6025700,Sara Lee Strawberry,1
,6025800,Shaklee packet,1
,6026000,bar,1
,6026100,Stouffer's meal (10.5 oz),1
,6026200,Stouffer's meal (9.5 oz),1
,6026400,Stouffer's meal (6.875 oz),1
,6026500,Suddenly S'mores cookie,1
,6026600,bar or stick (2.5 fl oz),1
,6027100,Swanson Salisbury Steak Dinner (11 oz),1
,6027400,Swanson meal (11 oz),1
,6028000,Taco Bell chicken taco,1
,6028200,Taco Bell Soft Taco Supreme,1
,6028300,Tastykake Oatmeal Raisin Bar,1
,6028400,Teddy Graham Bearwich,1
,6028500,"pizza (9"" across)",1
,6028501,"pizza (12"" across)",1
,6028502,"pizza (13"" across)",1
,6028503,"pizza (14"" across)",1
,6028504,"pizza (16"" across)",1
,6028505,"pizza crust (12"" across)",1
,6028506,"pizza crust (16"" across)",1
,6028600,Triscuit,1
,6028601,cracker,1
,6029200,"Under Cover Bears packet, prepared",1
