Food_Item_ID,foodcode,modcode,Food_Category,foodname,_203 Protein (g),_204 Total Fat (g),_205 Carbohydrate (g),_208 Energy (kcal),_221 Alcohol (g),_255 Water (g),_262 Caffeine (mg),_263 Theobromine (mg),"_269 Sugars, total (g)","_291 Fiber, total dietary (g)",_301 Calcium (mg),_303 Iron (mg),_304 Magnesium (mg),_305 Phosphorus (mg),_306 Potassium (mg),_307 Sodium (mg),_309 Zinc (mg),_312 Copper (mg),_317 Selenium (mcg),_319 Retinol (mcg),"_320 Vitamin A, RAE (mcg_RAE)","_321 Carotene, beta (mcg)","_322 Carotene, alpha (mcg)",_323 Vitamin E (alpha-tocopherol)(mg),_328 Vitamin D (mcg),"_334 Cryptoxanthin, beta (mcg)",_337 Lycopene (mcg),_338 Lutein + zeaxanthin (mcg),_401 Vitamin C (mg),_404 Thiamin (mg),_405 Riboflavin (mg),_406 Niacin (mg),_415 Vitamin B-6 (mg),"_417 Folate, total (mcg)",_418 Vitamin B-12 (mcg),"_421 Choline, total (mg)",_430 Vitamin K (phylloquinone)(mcg),_431 Folic acid (mcg),"_432 Folate, food (mcg)","_435 Folate, DFE (mcg_DFE)","_573 Vitamin E, added (mg)","_578 Vitamin B-12, added (mcg)",_601 Cholesterol (mg),"_606 Fatty acids, total saturated (g)"
3581,63134010,000000,,"Passion fruit, raw",2.2,0.7,23.3798,97,0,72.93,0,0,11.1999,10.4,12,1.6,29,68,348,28,0.1,0.086,0.6,0,64,743,0,0.02,0,41,0,0,30,0,0.13,1.5,0.1,14,0,7.5998,0.7,0,14,14,0,0,0,0.059
6440,92101910,206442,,"Latte (espresso coffee), decaffeinated, with 1% milk",2.2,0.69,3.81,30,0,92.73,0,0,3.3399,0,81,0.07,36,64,138,33,0.29,0.024,2.1,37,37,1,0,0.01,0.8,0,0,0,0.1,0.012,0.182,1.917,0.022,3,0.24,10.6,0.1,0,3,3,0,0,3,0.44
6816,75418052,000000,,"Squash, yellow, frozen, creamed",2.2,4.0899,6.24,68,0,86.5699,0,0,2.8799,0.9,56,0.44,17,57,197,135,0.32,0.043,1.7,39,45,78,0,0.19,0.4,0,0,744,3.5,0.05,0.096,0.408,0.059,9,0.1,11.3,3.2999,1,8,10,0,0,3,1.092
3769,71403000,000000,,"Home fries, with vegetable oil ",2.2,9.64,23.28,185,0,63.0399,0,0,1.54,2.2,9,0.38,25,52,434,310,0.35,0.211,0.4,0,0,2,0,1.1798,0,0,0,10,12.8,0.11,0.025,1.585,0.342,12,0,14.9,13.1,0,12,12,0,0,0,1.28
4851,91707010,000000,Carbs,"Fondant candy, chocolate covered (Cadbury Creme Egg, Peppermint Patties, Thin Mints, Junior Mints)",2.2,9.3,80.4,366,0,7.7,10,185,71.42,2.1,17,1.56,63,95,168,26,0.45,0.43,1.6,0,0,0,0,0.13,0,0,0,4,0,0.026,0.058,0.575,0.01,3,0,2.7999,2.1,0,3,3,0,0,0,5.4599
4820,91702010,000000,,Butterscotch morsels or chips,2.2,29.05,67.0999,539,0,0.75,0,0,67.0999,0,34,0.08,5,31,64,89,0.11,0.003,1.3,0,0,0,0,0.68,0,0,0,0,0.1,0.015,0.075,0.049,0.016,1,0.1,10.9,6.5,0,1,1,0,0,0,24.1
3369,58161300,100214,,"Rice and tomato sauce, cooked without fat ",2.1899,0.243,19.994,91.9779,0,75.793,0,0,1.514,0.78,11.16,1.1299,13.305,36.722,137.999,498.901,0.386,0.085,4.894,0,7.6719,90.316,0,0.521,0,1.046,4874.631,8.0199,2.4409,0.113,0.031,1.2889,0.094,41.1379,0,4.8029,0.976,35.3729,5.7649,66.221,0,0,0,0.058
3479,62101050,000000,,"Fruit mix, dried (apples, apricots, dates, papaya, peaches, pears, pineapples, prunes, raisins)",2.1899,0.43,64.81,244,0,30.41,0,0,47.6599,7.4,40,1.52,34,63,746,17,0.39,0.293,0.8,0,56,630,28,1.1698,0,46,0,84,2.1,0.03,0.153,1.804,0.161,4,0,13.9,33.8999,0,4,4,0,0,0,0.06
4627,75649150,000000,,"Vegetable noodle soup, home recipe",2.1899,1.1498,7.32,47,0,88.2399,0,0,1.1899,1,14,0.56,11,37,152,285,0.2,0.04,4.0998,1,36,370,110,0.2,0,5,225,196,4.7999,0.068,0.05,1.231,0.07,17,0.06,10.1,16.6999,6,11,21,0,0,4,0.242
6689,72122222,000000,,"Mustard greens, frozen, cooked (with salt and fat)",2.1899,2.08,3.02,35,0,91.4899,0,0,0.31,2.7,98,1.08,13,24,135,283,0.19,0.056,0.6,24,366,4108,0,1.95,0,0,0,6425,13.3,0.039,0.052,0.249,0.22,67,0.33,0.6,325.8,0,67,67,0,0,0,0.385
